patient,drug,dose,plate,half,n_rows,frac_untestable
ACH-000120,Altretamine,5.0,9,0,62710,0.7
ACH-000120,Amsacrine,0.05,4,0,62710,0.6926008611066815
ACH-000120,Amsacrine,0.5,5,0,62710,0.6995535002391963
ACH-000120,Amsacrine,5.0,14,0,62710,0.7019773560835593
ACH-000120,Amsacrine,5.0,6,1,62710,0.6838781693509807
ACH-000120,Anastrozole,0.05,1,0,62710,0.6768457981183225
ACH-000120,Anastrozole,0.5,2,0,62710,0.6355605166640089
ACH-000120,Anastrozole,5.0,3,0,62710,0.7620475203316855
ACH-000120,Anethole trithione,0.05,4,0,62710,0.6838781693509807
ACH-000120,Anethole trithione,0.5,5,0,62710,0.6772125657789826
ACH-000120,Anethole trithione,5.0,14,0,62710,0.6998724286397704
ACH-000120,Anethole trithione,5.0,6,1,62710,0.6593366289268059
ACH-000120,Apalutamide,0.05,7,0,62710,0.7130441715834795
ACH-000120,Apalutamide,0.5,8,0,62710,0.6346196778823154
ACH-000120,Apalutamide,5.0,9,0,62710,0.6997926965396268
ACH-000120,Aprepitant,0.05,10,0,62710,0.6724924254504864
ACH-000120,Aprepitant,0.5,11,0,62710,0.6747408706745336
ACH-000120,Aprepitant,5.0,12,0,62710,0.6409982458937968
ACH-000120,Arbutin,0.05,7,0,62710,0.7154201881677563
ACH-000120,Arbutin,0.5,8,0,62710,0.6455748684420347
ACH-000120,Arbutin,5.0,9,0,62710,0.7083718705150693
ACH-000120,Artemether,0.05,10,0,62710,0.6553340774996014
ACH-000120,Artemether,0.5,11,0,62710,0.6752830489555095
ACH-000120,Artemether,5.0,12,0,62710,0.630983894115771
ACH-000120,Artesunate,0.05,4,0,62710,0.694243342369638
ACH-000120,Artesunate,0.5,5,0,62710,0.6891723808005102
ACH-000120,Artesunate,5.0,14,0,62710,0.7115133152607239
ACH-000120,Artesunate,5.0,6,1,62710,0.669335034284803
ACH-000120,Asciminib,0.05,10,0,62710,0.6760165842768299
ACH-000120,Asciminib,0.5,11,0,62710,0.6739276032530697
ACH-000120,Asciminib,5.0,12,0,62710,0.6463402966034125
ACH-000120,Aspirin,0.05,10,0,62710,0.6617764311911976
ACH-000120,Aspirin,0.5,11,0,62710,0.6728751395311753
ACH-000120,Aspirin,5.0,12,0,62710,0.6374740870674533
ACH-000120,Ataluren,0.05,10,0,62710,0.662988359113379
ACH-000120,Ataluren,0.5,11,0,62710,0.6802902248445224
ACH-000120,Ataluren,5.0,12,0,62710,0.6260245574868442
ACH-000120,Atazanavir (sulfate),0.05,10,0,62710,0.6767182267580928
ACH-000120,Atazanavir (sulfate),0.5,11,0,62710,0.686923935576463
ACH-000120,Atazanavir (sulfate),5.0,12,0,62710,0.6468665284643598
ACH-000120,Auranofin,0.05,10,0,62710,0.6753627810556531
ACH-000120,Auranofin,0.5,11,0,62710,0.680529421144953
ACH-000120,Auranofin,5.0,12,0,62710,0.6332801785999044
ACH-000120,Azithromycin (hydrate),0.05,4,0,62710,0.7034922659862861
ACH-000120,Azithromycin (hydrate),0.5,5,0,62710,0.701610588422899
ACH-000120,Azithromycin (hydrate),5.0,14,0,62710,0.7011003029819806
ACH-000120,Azithromycin (hydrate),5.0,6,1,62710,0.6769574230585234
ACH-000120,BAY1125976,0.05,1,0,62710,0.6846276510923298
ACH-000120,BAY1125976,0.5,2,0,62710,0.6645351618561632
ACH-000120,BAY1125976,5.0,3,0,62710,0.6822197416679955
ACH-000120,BI-3406,0.05,1,0,62710,0.6935257534683463
ACH-000120,BI-3406,0.5,2,0,62710,0.6611545208100781
ACH-000120,BI-3406,5.0,3,0,62710,0.7716632116089938
ACH-000120,BI-78D3,0.05,1,0,62710,0.6915324509647585
ACH-000120,BI-78D3,0.5,2,0,62710,0.6617126455110828
ACH-000120,BI-78D3,5.0,3,0,62710,0.7280975920905757
ACH-000120,Baicalin,0.05,4,0,62710,0.6970180194546325
ACH-000120,Baicalin,0.5,5,0,62710,0.6927284324669112
ACH-000120,Baicalin,5.0,14,0,62710,0.6934460213682029
ACH-000120,Baicalin,5.0,6,1,62710,0.6573592728432467
ACH-000120,Balsalazide (sodium hydrate),0.05,4,0,62710,0.6927443788869398
ACH-000120,Balsalazide (sodium hydrate),0.5,5,0,62710,0.6859512039547122
ACH-000120,Balsalazide (sodium hydrate),5.0,14,0,62710,0.6889650773401371
ACH-000120,Balsalazide (sodium hydrate),5.0,6,1,62710,0.6507574549513634
ACH-000120,Belinostat,0.05,10,0,62710,0.676223887737203
ACH-000120,Belinostat,0.5,11,0,62710,0.6901291660022325
ACH-000120,Belinostat,5.0,12,0,62710,0.6286078775314942
ACH-000120,Belumosudil,0.05,13,0,62710,0.6588263434858874
ACH-000120,Belumosudil,0.05,7,1,62710,0.6959974485727954
ACH-000120,Belumosudil,0.5,13,0,62710,0.657662254823792
ACH-000120,Belumosudil,0.5,8,1,62710,0.6250837187051507
ACH-000120,Belumosudil,5.0,13,0,62710,0.6882155955987881
ACH-000120,Belumosudil,5.0,9,1,62710,0.7006219103811194
ACH-000120,Belumosudil (mesylate),0.05,1,0,62710,0.6870993461967788
