patient,drug,dose,n_gene_doses,var_lfc_mean,mean_se2_mean,sigma2_plate_pooled,between_plate_fraction_pooled,n_responder_gene_doses,var_lfc_mean_responders,mean_se2_mean_responders,sigma2_plate_pooled_responders,between_plate_fraction_pooled_responders,n_nonresponder_gene_doses,var_lfc_mean_nonresponders,mean_se2_mean_nonresponders,sigma2_plate_pooled_nonresponders,between_plate_fraction_pooled_nonresponders
ACH-001333,Irinotecan (hydrochloride),0.05,19365,1.366988,2.894813,0.0,0.0,803,1.125098,0.245459,0.87964,0.781834,18562,1.377453,3.009425,0.0,0.0
ACH-001333,Irinotecan (hydrochloride),0.5,22335,1.322388,2.73166,0.0,0.0,402,1.130656,0.092313,1.038343,0.918355,21933,1.325903,2.780036,0.0,0.0
ACH-001333,Irinotecan (hydrochloride),5.0,19991,1.472629,3.047363,0.0,0.0,799,1.830644,0.390784,1.439859,0.786532,19192,1.457724,3.157962,0.0,0.0
ACH-001333,Isocorydine,5.0,22790,1.161258,2.638386,0.0,0.0,144,0.207655,0.035049,0.172607,0.831218,22646,1.167321,2.65494,0.0,0.0
ACH-001333,L-Thyroxine (sodium salt pentahydrate),5.0,21098,3.397398,3.470206,0.0,0.0,318,7.476535,0.881371,6.595164,0.882115,20780,3.334975,3.509823,0.0,0.0
ACH-001333,Larotrectinib,5.0,22781,1.246441,2.90097,0.0,0.0,150,0.421486,0.102958,0.318528,0.755727,22631,1.251909,2.919516,0.0,0.0
ACH-001333,Lenalidomide (hemihydrate),5.0,22114,1.150842,2.731742,0.0,0.0,89,1.040482,0.131507,0.908975,0.87361,22025,1.151288,2.742249,0.0,0.0
ACH-001333,Lidocaine (hydrochloride),5.0,21945,1.235159,2.918594,0.0,0.0,281,0.228677,0.059855,0.168822,0.738256,21664,1.248214,2.955674,0.0,0.0
ACH-001333,Lipoic acid,5.0,23228,1.138998,2.612738,0.0,0.0,111,0.39967,0.073935,0.325735,0.815011,23117,1.142548,2.624928,0.0,0.0
ACH-001333,Lumateperone (tosylate),5.0,22747,1.144439,2.628372,0.0,0.0,65,0.062943,0.017819,0.045123,0.716897,22682,1.147538,2.635853,0.0,0.0
ACH-001333,Malotilate,0.05,20830,1.313921,2.990521,0.0,0.0,1467,1.299972,0.289784,1.010188,0.777084,19363,1.314978,3.195137,0.0,0.0
ACH-001333,Medroxyprogesterone acetate,5.0,21868,1.134325,2.767496,0.0,0.0,185,0.679022,0.080861,0.598161,0.880916,21683,1.13821,2.790418,0.0,0.0
ACH-001333,Megestrol,5.0,23229,1.194866,2.671938,0.0,0.0,108,0.398325,0.064802,0.333523,0.837314,23121,1.198587,2.684116,0.0,0.0
ACH-001333,Mitoxantrone (dihydrochloride),5.0,23235,1.508066,2.833562,0.0,0.0,193,0.741958,0.108038,0.63392,0.854388,23042,1.514483,2.856391,0.0,0.0
ACH-001333,Naproxen,0.05,19105,1.287239,2.879355,0.0,0.0,40,1.953325,0.179203,1.774122,0.908258,19065,1.285842,2.88502,0.0,0.0
ACH-001333,Naproxen,0.5,22142,1.228343,2.697924,0.0,0.0,61,0.718618,0.053899,0.664719,0.924996,22081,1.229752,2.705229,0.0,0.0
ACH-001333,Naproxen,5.0,19369,1.275744,2.892231,0.0,0.0,99,0.913052,0.093858,0.819194,0.897204,19270,1.277607,2.906608,0.0,0.0
ACH-001333,Neratinib (maleate),5.0,22470,1.155909,2.610302,0.0,0.0,220,0.204204,0.062958,0.141246,0.691689,22250,1.16532,2.63549,0.0,0.0
ACH-001333,Norepinephrine (hydrochloride),5.0,22398,1.205824,2.837183,0.0,0.0,96,0.263641,0.05057,0.213071,0.808185,22302,1.20988,2.849178,0.0,0.0
ACH-001333,Olanzapine,5.0,22818,1.184389,2.704029,0.0,0.0,115,0.265566,0.087767,0.177799,0.669511,22703,1.189043,2.717281,0.0,0.0
ACH-001333,Palmatine (chloride),5.0,22413,1.156552,2.645057,0.0,0.0,75,0.185205,0.045579,0.139625,0.753897,22338,1.159813,2.653785,0.0,0.0
ACH-001333,Pasireotide (acetate),5.0,23208,1.179071,2.624565,0.0,0.0,216,0.445537,0.080583,0.364954,0.819132,22992,1.185962,2.648465,0.0,0.0
ACH-001333,Pentagastrin,5.0,23195,1.160029,2.562949,0.0,0.0,65,0.693678,0.082377,0.611301,0.881246,23130,1.161339,2.56992,0.0,0.0
ACH-001333,Pentamidine (isethionate),0.5,21577,1.261753,2.804412,0.0,0.0,150,1.158856,0.100039,1.058817,0.913674,21427,1.262473,2.823344,0.0,0.0
ACH-001333,Pentamidine (isethionate),5.0,22949,1.194298,2.713915,0.0,0.0,169,0.371713,0.113323,0.25839,0.695133,22780,1.200401,2.733208,0.0,0.0
ACH-001333,Pralsetinib,0.05,22378,1.309012,2.668544,0.0,0.0,955,1.05974,0.294718,0.765022,0.721896,21423,1.320124,2.774365,0.0,0.0
ACH-001333,Pravastatin (sodium),0.05,19170,1.258594,2.833236,0.0,0.0,286,0.992335,0.195882,0.796453,0.802605,18884,1.262626,2.873179,0.0,0.0
ACH-001333,Pravastatin (sodium),0.5,21874,1.245717,2.774548,0.0,0.0,255,0.626406,0.057475,0.568932,0.908247,21619,1.253022,2.806596,0.0,0.0
ACH-001333,Pravastatin (sodium),5.0,19953,1.522441,2.981436,0.0,0.0,466,1.601114,0.181954,1.41916,0.886358,19487,1.52056,3.048381,0.0,0.0
ACH-001333,Pyridoxine,5.0,22362,1.203326,2.84347,0.0,0.0,152,0.72399,0.104575,0.619414,0.855557,22210,1.206606,2.862214,0.0,0.0
ACH-001333,Pyridoxine (hydrochloride),5.0,23200,1.173836,2.625239,0.0,0.0,99,0.527978,0.079336,0.448642,0.849736,23101,1.176604,2.636149,0.0,0.0
ACH-001333,Quinestrol,5.0,23163,1.176405,2.60612,0.0,0.0,126,0.188173,0.063425,0.124749,0.662946,23037,1.181811,2.620027,0.0,0.0
ACH-001333,Radotinib,5.0,22434,1.153299,2.722734,0.0,0.0,130,0.28279,0.050886,0.231904,0.820059,22304,1.158373,2.738307,0.0,0.0
